Date,Correlation_20D,Correlation_30D,Correlation_60D
2025-01-02,,,
2025-01-03,,,
2025-01-06,,,
2025-01-07,,,
2025-01-08,,,
2025-01-09,,,
2025-01-10,,,
2025-01-13,,,
2025-01-14,,,
2025-01-15,,,
2025-01-16,,,
2025-01-17,,,
2025-01-20,,,
2025-01-21,,,
2025-01-22,,,
2025-01-23,,,
2025-01-24,,,
2025-01-27,,,
2025-01-28,,,
2025-01-29,0.448273618671052,,
2025-01-30,0.41905348139180926,,
2025-01-31,0.4103651899702002,,
2025-02-03,0.4098970182073911,,
2025-02-04,0.38391412710811934,,
2025-02-05,0.3304130099079865,,
2025-02-06,0.436911555995001,,
2025-02-07,0.38950743605301963,,
2025-02-10,0.41895194056187096,,
2025-02-11,0.39935274926367265,,
2025-02-12,0.25617422909730625,0.42717122484208386,
2025-02-13,0.27486210454480736,0.4314476148759494,
2025-02-14,0.28115760890777874,0.43152399109420625,
2025-02-17,0.2666886948368455,0.4304270005750969,
2025-02-18,0.2638503683848744,0.4061946638410972,
2025-02-19,0.313708299546305,0.3891982318774805,
2025-02-20,0.30424073060901674,0.3888556896106742,
2025-02-21,0.2316852907596224,0.28127752089017194,
2025-02-24,0.14287174374468112,0.28228907429715394,
2025-02-25,0.13355377248693157,0.2623344996905891,
2025-02-26,0.21484670156284336,0.16877793077282835,
2025-02-27,0.3637652861005937,0.2561313349965354,
2025-02-28,0.4563701765094113,0.27805904276777915,
2025-03-03,0.4089258401860713,0.2663614394942696,
2025-03-04,0.5049942881582338,0.35426507269123464,
2025-03-05,0.574130994106155,0.4057499418002988,
2025-03-06,0.5259930443062224,0.4037531964720808,
2025-03-07,0.51003303323519,0.40205595555295714,
2025-03-10,0.5985793503274259,0.43381344678143885,
2025-03-11,0.5285507498815007,0.41032626014672713,
2025-03-12,0.5386980541753599,0.48468363099470857,
2025-03-13,0.5776425409044604,0.5332963523417074,
2025-03-14,0.665486873134166,0.6347661266625421,
2025-03-17,0.6382722752990603,0.604238052608665,
2025-03-18,0.6446599933930318,0.5983459544939613,
2025-03-19,0.6406050960644359,0.6168867526598556,
2025-03-20,0.6498719932542054,0.5976263876229783,
