Date,Correlation_20D,Correlation_30D,Correlation_60D
2025-01-02,,,
2025-01-03,,,
2025-01-06,,,
2025-01-07,,,
2025-01-08,,,
2025-01-09,,,
2025-01-10,,,
2025-01-13,,,
2025-01-14,,,
2025-01-15,,,
2025-01-16,,,
2025-01-17,,,
2025-01-20,,,
2025-01-21,,,
2025-01-22,,,
2025-01-23,,,
2025-01-24,,,
2025-01-27,,,
2025-01-28,,,
2025-01-29,0.4482736186710521,,
2025-01-30,0.41905348139180937,,
2025-01-31,0.4103651899702003,,
2025-02-03,0.4098970182073912,,
2025-02-04,0.3839141271081194,,
2025-02-05,0.33041300990798655,,
2025-02-06,0.4369115559950009,,
2025-02-07,0.3895074360530197,,
2025-02-10,0.41895194056187096,,
2025-02-11,0.39935274926367254,,
2025-02-12,0.2561742290973061,0.427171224842084,
2025-02-13,0.2748621045448073,0.4314476148759495,
2025-02-14,0.28115760890777863,0.43152399109420647,
2025-02-17,0.2666886948368454,0.4304270005750969,
2025-02-18,0.26385036838487425,0.40619466384109737,
2025-02-19,0.31370829954630497,0.3891982318774806,
2025-02-20,0.3042407306090166,0.38885568961067446,
2025-02-21,0.23168529075962227,0.281277520890172,
2025-02-24,0.14287174374468106,0.28228907429715394,
2025-02-25,0.1335537724869315,0.2623344996905891,
2025-02-26,0.21484670156284325,0.1687779307728284,
2025-02-27,0.36376528610059367,0.2561313349965353,
2025-02-28,0.45637017650941125,0.27805904276777915,
2025-03-03,0.4089258401860712,0.2663614394942697,
2025-03-04,0.5049942881582338,0.35426507269123475,
2025-03-05,0.5741309941061551,0.40574994180029883,
2025-03-06,0.5259930443062225,0.4037531964720809,
2025-03-07,0.51003303323519,0.4020559555529571,
2025-03-10,0.5985793503274259,0.433813446781439,
2025-03-11,0.528550749881501,0.4103262601467272,
2025-03-12,0.53869805417536,0.48468363099470857,
2025-03-13,0.5776425409044603,0.5332963523417075,
2025-03-14,0.6654868731341661,0.6347661266625418,
2025-03-17,0.6382722752990603,0.6042380526086649,
2025-03-18,0.6446599933930317,0.5983459544939613,
2025-03-19,0.6406050960644358,0.6168867526598555,
2025-03-20,0.6498719932542056,0.5976263876229783,
